% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
156,403,132,-53.4438,-35.8873,-0.953672,-0.0782627,-0.212046,-0.715705,0.660816,-54.2031,-37.0844,-0.43929,-0.123743,0.0554514,0.616921,0.775256
201,419,192,-45.9385,-30.7866,-2.91268,-0.000667096,0.294411,0.946855,0.129569,-47.4379,-30.6933,-3.45094,-0.230772,-0.116336,-0.113146,0.959379
142,426,96,-44.2331,-32.8503,-1.91466,0.0552765,0.235402,0.965914,0.0924176,-45.0844,-32.162,-2.52493,-0.143195,-0.146531,-0.608836,0.766383
202,417,186,-46.9545,-30.5996,-3.03039,-0.00876815,0.29034,0.950514,0.110227,-48.533,-30.4633,-3.45761,-0.254597,-0.0887181,-0.0828491,0.959399
261,320,56,-46.7742,-45.5953,2.79709,0.0155435,0.185544,0.977876,0.0953447,-46.8771,-45.9933,2.71243,0.00600671,0.173185,0.980907,0.0882769
201,418,70,-45.9385,-30.7866,-2.91268,-0.000667096,0.294411,0.946855,0.129569,-47.7171,-30.7726,-3.50144,-0.21933,-0.122773,-0.0718734,0.965223
139,360,11,-41.8647,-33.5085,-2.14216,-0.00444437,0.211154,0.970363,0.117428,-42.3792,-32.9944,-2.29719,-0.177095,-0.162039,-0.677604,0.69515
154,406,107,-52.9117,-34.3187,-1.65222,-0.0983016,-0.256654,-0.78529,0.554784,-53.7871,-35.7349,-0.944942,-0.179957,0.0636287,0.583554,0.789323
284,355,337,-43.9291,-31.0667,-2.98287,-0.198748,-0.0100697,-0.0562523,0.978383,-43.7818,-30.8557,-3.12682,-0.169404,-0.0273639,-0.158274,0.97237
284,354,362,-43.9291,-31.0667,-2.98287,-0.198748,-0.0100697,-0.0562523,0.978383,-44.042,-30.7343,-3.06288,-0.204512,-0.0365889,-0.168256,0.963601
345,415,170,-49.3441,-31.2331,-3.17861,-0.287453,0.0391159,0.375484,0.880257,-49.7141,-30.4761,-3.62855,-0.190676,-0.107819,0.0273232,0.975331
83,361,116,-41.8368,-35.1352,-1.39515,-0.00511602,0.198192,0.971018,0.133485,-42.2817,-33.8234,-1.82722,-0.170869,-0.210285,-0.717442,0.641765
138,360,149,-41.171,-33.6633,-2.10528,0.0217532,0.220055,0.968514,0.114386,-42.3792,-32.9944,-2.29719,-0.177095,-0.162039,-0.677604,0.69515
136,289,56,-39.8063,-34.2526,-1.92193,0.0148925,0.240266,0.950826,0.194887,-39.9323,-33.1295,-2.37074,-0.189734,-0.1169,-0.655374,0.721679
200,281,261,-44.894,-30.9002,-2.95803,0.0213959,0.265282,0.958111,0.105783,-46.0465,-31.2568,-2.93003,-0.204452,0.0622452,0.235819,0.948005
319,444,5,-46.4671,-46.0112,2.73517,0.00649343,0.180855,0.982264,0.0490601,-47.0666,-44.9648,2.26591,-0.15383,-0.0848429,-0.383856,0.906528
56,438,50,-48.0157,-42.569,1.73946,-0.167687,-0.100964,-0.0465603,0.979551,-46.8802,-42.3715,1.59251,-0.103156,-0.153379,-0.791589,0.582426
211,411,61,-51.4837,-30.9682,-3.51845,0.0905619,0.289965,0.836598,-0.455876,-52.2058,-31.5981,-3.38776,-0.23296,0.0981534,0.448535,0.85727
